"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R43","RESC1005[0402]","70.6mm","26.9mm","70.6mm","26.9mm","70.6mm","27.425mm","B","270.00","ERJ-2RKF1002X"
"C59","C0402_IPC_HIGH_DENSITY","53.7mm","19.6mm","53.7mm","19.6mm","53.7mm","20.1mm","B","270.00","GRM155R71C104KA88"
"R70","RESC1005[0402]","81mm","5.7mm","81mm","5.7mm","80.475mm","5.7mm","B","360.00","ERJ-2RKF2001X"
"R68","RESC1005[0402]","81mm","7mm","81mm","7mm","80.475mm","7mm","B","360.00","ERJ-2RKF2001X"
"XP13","PJ-002BH-SMT","4.95mm","8.2mm","-3.5mm","8mm","1.9mm","13.8mm","T","360.00","PJ-002BH-SMT"
"XP6","RCJ-044","72.975mm","23.2mm","73.6mm","23.2mm","73.6mm","23.2mm","T","90.00","RCJ-044"
"C2","C0402_IPC_HIGH_DENSITY","35mm","39mm","35mm","39mm","35.5mm","39mm","B","180.00","GRM155R71C104KA88"
"C81","C0402_IPC_HIGH_DENSITY","75mm","46.6mm","75mm","46.6mm","75mm","46.1mm","B","90.00","GRM155R71C104KA88"
"C6","C0402_IPC_HIGH_DENSITY","26.8mm","38.9mm","26.8mm","38.9mm","26.3mm","38.9mm","B","360.00","GRM155R71C104KA88"
"C7","C0402_IPC_HIGH_DENSITY","36mm","19.5mm","36mm","19.5mm","36.5mm","19.5mm","B","180.00","GRM155R71C104KA88"
"C8","C0402_IPC_HIGH_DENSITY","29.2mm","38.9mm","29.2mm","38.9mm","29.7mm","38.9mm","B","180.00","GRM155R71C104KA88"
"C9","C0402_IPC_HIGH_DENSITY","34.0499mm","20.425mm","34.0499mm","20.425mm","34.5499mm","20.425mm","B","180.00","GRM155R71C104KA88"
"C10","C0402_IPC_HIGH_DENSITY","33mm","39mm","33mm","39mm","33.5mm","39mm","B","180.00","GRM155R71C104KA88"
"C11","C0402_IPC_HIGH_DENSITY","33.6mm","18.3mm","33.6mm","18.3mm","34.1mm","18.3mm","B","180.00","GRM155R71C104KA88"
"C14","C0402_IPC_HIGH_DENSITY","36.9mm","37.9mm","36.9mm","37.9mm","36.9mm","38.4mm","B","270.00","GRM155R71C104KA88"
"C15","C0402_IPC_HIGH_DENSITY","26.7mm","18.4mm","26.7mm","18.4mm","26.2mm","18.4mm","B","360.00","GRM155R71C104KA88"
"C19","C0402_IPC_HIGH_DENSITY","36mm","30mm","36mm","30mm","36.5mm","30mm","T","180.00","GRM155R71C104KA88"
"C20","C0402_IPC_HIGH_DENSITY","29.3mm","18.4mm","29.3mm","18.4mm","29.8mm","18.4mm","B","180.00","GRM155R71C104KA88"
"C29","C0402_IPC_HIGH_DENSITY","29.4mm","33.9mm","29.4mm","33.9mm","29.4mm","34.4mm","B","270.00","GRM155R71C104KA88"
"C30","C0402_IPC_HIGH_DENSITY","30.3mm","21.8mm","30.3mm","21.8mm","30.3mm","22.3mm","B","270.00","GRM155R71C104KA88"
"C33","C0402_IPC_HIGH_DENSITY","41.825mm","29.6mm","41.825mm","29.6mm","41.325mm","29.6mm","B","360.00","GRM155R71C104KA88"
"C34","C0402_IPC_HIGH_DENSITY","49.0499mm","22.825mm","49.0499mm","22.825mm","49.5499mm","22.825mm","B","180.00","GRM155R71C104KA88"
"C36","C0402_IPC_HIGH_DENSITY","47.0499mm","18.425mm","47.0499mm","18.425mm","47.0499mm","17.925mm","B","90.00","GRM155R71C104KA88"
"C37","C0402_IPC_HIGH_DENSITY","49.0499mm","21.825mm","49.0499mm","21.825mm","48.5499mm","21.825mm","B","360.00","GRM155R71C104KA88"
"C4","C0402_IPC_HIGH_DENSITY","61.425mm","37.7mm","61.425mm","37.7mm","61.425mm","37.2mm","B","90.00","GRM155R71C104KA88"
"C5","C0603","63.5249mm","40.9248mm","63.525mm","40.9mm","63.5249mm","41.7249mm","B","270.00","GRM188R60J106ME47"
"C12","C0402_IPC_HIGH_DENSITY","54mm","43.75mm","54mm","43.75mm","54mm","43.25mm","B","90.00","GRM155R71C104KA88"
"C13","C0603","63.5251mm","44.0752mm","63.525mm","44.1mm","63.5251mm","43.2751mm","B","90.00","GRM188R60J106ME47"
"C16","C0402_IPC_HIGH_DENSITY","65.75mm","41.5mm","65.75mm","41.5mm","66.25mm","41.5mm","T","180.00","GRM1555C1H150"
"C17","C0402_IPC_HIGH_DENSITY","66.25mm","47mm","66.25mm","47mm","65.75mm","47mm","T","360.00","GRM1555C1H150"
"C18","C0402_IPC_HIGH_DENSITY","11.7mm","45.6mm","11.7mm","45.6mm","12.2mm","45.6mm","B","180.00","GRM155R71C104KA88"
"C26","C0402_IPC_HIGH_DENSITY","60.525mm","37.7mm","60.525mm","37.7mm","60.525mm","37.2mm","B","90.00","GRM155R71C104KA88"
"C27","C0603","59.3251mm","37.1752mm","59.325mm","37.2mm","59.3251mm","36.3751mm","B","90.00","GRM188R60J106ME47"
"C28","C0402_IPC_HIGH_DENSITY","57.5mm","45.75mm","57.5mm","45.75mm","57mm","45.75mm","B","360.00","GRM155R71C104KA88"
"C32","C0402_IPC_HIGH_DENSITY","57.025mm","37mm","57.025mm","37mm","57.025mm","36.5mm","B","90.00","GRM155R71C104KA88"
"C39","C0402_IPC_HIGH_DENSITY","50.1mm","48.2mm","50.1mm","48.2mm","50.1mm","48.7mm","B","270.00","GRM155R71C104KA88"
"C40","C0402_IPC_HIGH_DENSITY","54.5mm","48.25mm","54.5mm","48.25mm","54mm","48.25mm","B","360.00","GRM155R71C104KA88"
"DD1","TFBGA336","48.9249mm","28mm","48.925mm","28mm","42.75mm","34.175mm","T","0.00","Allwinner A10S"
"DD2","LQFP48","59mm","42mm","59mm","42mm","61.7501mm","46.3mm","T","180.00","RTL8201CP"
"DD11","SO-8_N","11mm","10.4mm","11mm","10.4mm","12.905mm","8mm","B","90.00","NCP3170BDR2G"
"DD3","FBGA78","31.2mm","34.6001mm","31.2mm","34.6mm","36.0001mm","37.8002mm","T","270.00","H5TQ2G83CFR-H9C"
"DD6","FBGA78","31.2mm","21.7251mm","31.2mm","21.725mm","36.0001mm","24.9251mm","T","270.00","H5TQ2G83CFR-H9C"
"L1","L_0402","63.5mm","38.8mm","63.5mm","38.8mm","64.025mm","38.8mm","B","180.00","BLM15PX331SN1"
"L2","L_0402","60.7499mm","40.525mm","60.7499mm","40.525mm","60.7499mm","40mm","B","90.00","BLM15PX331SN1"
"R3","RESC1005[0402]","52.1499mm","34.625mm","52.1499mm","34.625mm","52.6749mm","34.625mm","B","180.00","ERJ-2RKF4751X"
"R4","RESC1005[0402]","56.6001mm","44.2252mm","56.6001mm","44.2252mm","57.1251mm","44.2252mm","B","180.00","ERJ-2RKF4751X"
"R5","RESC1005[0402]","56.8001mm","48.1252mm","56.8001mm","48.1252mm","57.3251mm","48.1252mm","B","180.00","ERJ-2RKF4751X"
"R6","RESC1005[0402]","60.1mm","47.2mm","60.1mm","47.2mm","59.575mm","47.2mm","B","360.00","ERJ-2RKF4751X"
"R8","RESC1005[0402]","60.1mm","48.4mm","60.1mm","48.4mm","59.575mm","48.4mm","B","360.00","ERJ-2RKF4751X"
"R11","RESC1005[0402]","55mm","43.75mm","55mm","43.75mm","55mm","44.275mm","B","270.00","ERJ-2RKF4751X"
"R12","RESC1005[0402]","58.025mm","37mm","58.025mm","37mm","58.025mm","36.475mm","B","90.00","ERJ-2RKF4751X"
"R25","RESC1005[0402]","64mm","47mm","64mm","47mm","63.475mm","47mm","T","360.00","ERJ-2RKF4751X"
"R28","RESC1005[0402]","53.05mm","38.5997mm","53.05mm","38.5997mm","53.575mm","38.5997mm","B","180.00","ERJ-2RKF4751X"
"R31","RESC1005[0402]","57.75mm","40.5mm","57.75mm","40.5mm","57.75mm","39.975mm","B","90.00","ERJ-2RKF4751X"
"XP10","PBD-40","42.63mm","2.77mm","18.5mm","1.5mm","18.5mm","1.5mm","T","360.00","PBD-40 (114A-DS40G)"
"R29","RESC1005[0402]","48.2499mm","18.4mm","48.2499mm","18.4mm","48.2499mm","17.875mm","B","90.00","ERJ-2RKF2001X"
"R30","RESC1005[0402]","49.0499mm","20.525mm","49.0499mm","20.525mm","48.5249mm","20.525mm","B","360.00","ERJ-2RKF2001X"
"R10","RESC1005[0402]","59mm","40.5mm","59mm","40.5mm","59mm","41.025mm","B","270.00","ERJ-2RKF2001X"
"R33","RESC1005[0402]","73.7001mm","40.2252mm","73.7001mm","40.2252mm","73.7001mm","40.7502mm","B","270.00","CR0402-J/-000GLF not_mount"
"R7","RESC1005[0402]","39.4mm","19.5747mm","39.4mm","19.5747mm","39.4mm","19.0497mm","T","90.00","ERJ-2RKF22R0X"
"R9","RESC1005[0402]","40.5mm","19.5747mm","40.5mm","19.5747mm","40.5mm","19.0497mm","T","90.00","ERJ-2RKF22R0X"
"R16","RESC1005[0402]","39.75mm","34mm","39.75mm","34mm","39.225mm","34mm","B","360.00","ERJ-2RKF2400X"
"R17","RESC1005[0402]","31.125mm","28.5mm","31.125mm","28.5mm","31.65mm","28.5mm","T","180.00","ERJ-2RKF2400X"
"R20","RESC1005[0402]","51.25mm","48.25mm","51.25mm","48.25mm","51.25mm","48.775mm","B","270.00","ERJ-2RKF49R9X"
"R21","RESC1005[0402]","52.5mm","48.25mm","52.5mm","48.25mm","52.5mm","48.775mm","B","270.00","ERJ-2RKF49R9X"
"R22","RESC1005[0402]","54.5mm","47mm","54.5mm","47mm","55.025mm","47mm","B","180.00","ERJ-2RKF49R9X"
"R23","RESC1005[0402]","54.5mm","45.75mm","54.5mm","45.75mm","55.025mm","45.75mm","B","180.00","ERJ-2RKF49R9X"
"R18","RESC1005[0402]","31mm","15.5mm","31mm","15.5mm","31.525mm","15.5mm","T","180.00","ERJ-2RKF2400X"
"R1","RESC1005[0402]","6mm","45.75mm","6mm","45.75mm","6.525mm","45.75mm","B","180.00","ERJ-2RKF2400X"
"R2","RESC1005[0402]","6mm","47.25mm","6mm","47.25mm","6.525mm","47.25mm","B","180.00","ERJ-2RKF2400X"
"R13","RESC1005[0402]","54.875mm","34.625mm","54.875mm","34.625mm","54.35mm","34.625mm","B","360.00","CR0402-J/-000GLF not_mount"
"XP5","10029449-001RLF","80.3125mm","9.25mm","75.7mm","9.45mm","77.2mm","13.9501mm","T","360.00","10029449-001RLF"
"XS2","112J-TDAR-R","75.7mm","44.5mm","75.75mm","46.5mm","73.15mm","39.25mm","T","180.00","112J-TXAR-R"
"C47","C0603","79.0251mm","38.2752mm","79.025mm","38.3mm","79.0251mm","37.4751mm","B","90.00","GRM188R60J106ME47"
"R36","RESC1005[0402]","72.9mm","46.9mm","72.9mm","46.9mm","72.9mm","46.375mm","B","90.00","ERJ-2RKF1002X"
"R37","RESC1005[0402]","71.2mm","46.9mm","71.2mm","46.9mm","71.2mm","46.375mm","B","90.00","ERJ-2RKF1002X"
"R38","RESC1005[0402]","69.8mm","46.9mm","69.8mm","46.9mm","69.8mm","46.375mm","B","90.00","ERJ-2RKF1002X"
"R39","RESC1005[0402]","69.2mm","49.3mm","69.2mm","49.3mm","69.2mm","48.775mm","B","90.00","ERJ-2RKF1002X"
"R40","RESC1005[0402]","67.8mm","49.3mm","67.8mm","49.3mm","67.8mm","48.775mm","B","90.00","ERJ-2RKF1002X"
"R35","RESC1005[0402]","70.6mm","49.3mm","70.6mm","49.3mm","70.6mm","48.775mm","B","90.00","ERJ-2RKF1002X"
"XP2","USB_A_VERTICAL_PTH","71.525mm","33.725mm","87.275mm","30.275mm","74.525mm","33.7251mm","T","90.00","XUSB-F0125"
"R64","RESC1005[0402]","77.7mm","24.2mm","77.7mm","24.2mm","77.7mm","24.725mm","B","270.00","ERJ-2RKF22R0X"
